t,flag
0.010000,0
0.020000,0
0.030000,0
0.040000,0
0.050000,1
0.060000,1
0.070000,1
0.080000,1
0.090000,1
0.100000,1
0.110000,1
0.120000,1
0.130000,1
0.140000,1
0.150000,1
0.160000,1
0.170000,1
0.180000,0
0.190000,0
0.200000,0
0.210000,0
0.220000,0
0.230000,0
0.240000,0
0.250000,0
0.260000,0
0.270000,0
0.280000,0
0.290000,0
0.300000,0
0.310000,0
0.320000,0
0.330000,0
0.340000,0
0.350000,0
0.360000,0
0.370000,0
0.380000,0
0.390000,0
0.400000,0
0.410000,0
0.420000,0
0.430000,0
0.440000,0
0.450000,0
0.460000,0
0.470000,0
0.480000,0
0.490000,0
0.500000,0
0.510000,0
0.520000,0
0.530000,0
0.540000,0
0.550000,0
0.560000,0
0.570000,0
0.580000,0
0.590000,0
0.600000,0
0.610000,0
0.620000,0
0.630000,0
0.640000,0
0.650000,0
0.660000,0
0.670000,0
0.680000,0
0.690000,0
0.700000,0
0.710000,0
0.720000,0
0.730000,0
0.740000,0
0.750000,0
0.760000,0
0.770000,0
0.780000,0
0.790000,0
0.800000,0
0.810000,0
0.820000,0
0.830000,0
0.840000,0
0.850000,0
0.860000,0
0.870000,0
0.880000,0
0.890000,0
0.900000,0
0.910000,0
0.920000,0
0.930000,0
0.940000,0
0.950000,0
0.960000,0
0.970000,0
0.980000,0
0.990000,0
1.000000,0
1.010000,0
1.020000,0
1.030000,0
1.040000,0
1.050000,0
1.060000,0
1.070000,0
1.080000,0
1.090000,0
1.100000,0
1.110000,1
1.120000,1
1.130000,1
1.140000,1
1.150000,1
1.160000,1
1.170000,1
1.180000,0
1.190000,0
1.200000,0
1.210000,0
1.220000,0
1.230000,0
1.240000,0
1.250000,0
1.260000,0
1.270000,0
1.280000,0
1.290000,0
1.300000,0
1.310000,0
1.320000,0
1.330000,0
1.340000,0
1.350000,0
1.360000,0
1.370000,0
1.380000,0
1.390000,0
1.400000,0
1.410000,0
1.420000,0
1.430000,0
1.440000,0
1.450000,0
1.460000,0
1.470000,0
1.480000,0
1.490000,0
1.500000,0
1.510000,0
1.520000,0
1.530000,0
1.540000,0
1.550000,0
1.560000,0
1.570000,0
1.580000,0
1.590000,0
1.600000,0
1.610000,0
1.620000,0
1.630000,0
1.640000,0
1.650000,0
1.660000,0
1.670000,0
1.680000,0
1.690000,0
1.700000,0
1.710000,0
1.720000,0
1.730000,0
1.740000,0
1.750000,0
1.760000,0
1.770000,0
1.780000,0
1.790000,0
1.800000,0
1.810000,0
1.820000,0
1.830000,0
1.840000,0
1.850000,0
1.860000,0
1.870000,0
1.880000,0
1.890000,0
1.900000,0
1.910000,0
1.920000,0
1.930000,0
1.940000,0
1.950000,0
1.960000,0
1.970000,0
1.980000,0
1.990000,0
2.000000,0
2.010000,0
2.020000,0
2.030000,0
2.040000,0
2.050000,0
2.060000,0
2.070000,0
2.080000,0
2.090000,0
2.100000,0
2.110000,0
2.120000,0
2.130000,0
2.140000,1
2.150000,1
2.160000,1
2.170000,1
2.180000,1
2.190000,1
2.200000,1
2.210000,0
2.220000,0
2.230000,0
2.240000,0
2.250000,0
2.260000,0
2.270000,0
2.280000,0
2.290000,0
2.300000,0
2.310000,0
2.320000,0
2.330000,0
2.340000,0
2.350000,0
2.360000,0
2.370000,0
2.380000,0
2.390000,0
2.400000,0
2.410000,0
2.420000,0
2.430000,0
2.440000,0
2.450000,0
2.460000,0
2.470000,0
2.480000,0
2.490000,0
2.500000,0
2.510000,0
2.520000,0
2.530000,0
2.540000,0
2.550000,0
2.560000,0
2.570000,0
2.580000,0
2.590000,0
2.600000,0
2.610000,0
2.620000,0
2.630000,0
2.640000,0
2.650000,0
2.660000,0
2.670000,0
2.680000,0
2.690000,0
2.700000,0
2.710000,0
2.720000,0
2.730000,0
2.740000,0
2.750000,0
2.760000,0
2.770000,0
2.780000,0
2.790000,0
2.800000,0
2.810000,0
2.820000,1
2.830000,1
2.840000,1
2.850000,1
2.860000,1
2.870000,1
2.880000,1
2.890000,1
2.900000,1
2.910000,1
2.920000,0
2.930000,0
2.940000,0
2.950000,0
2.960000,0
2.970000,0
2.980000,0
2.990000,0
3.000000,0
3.010000,0
3.020000,0
3.030000,0
3.040000,0
3.050000,0
3.060000,0
3.070000,0
3.080000,0
3.090000,0
3.100000,0
3.110000,0
3.120000,0
3.130000,0
3.140000,0
3.150000,0
3.160000,0
3.170000,0
3.180000,0
3.190000,0
3.200000,0
3.210000,0
3.220000,0
3.230000,0
3.240000,0
3.250000,0
3.260000,0
3.270000,0
3.280000,0
3.290000,0
3.300000,0
3.310000,0
3.320000,0
3.330000,0
3.340000,0
3.350000,0
3.360000,0
3.370000,0
3.380000,0
3.390000,0
3.400000,0
3.410000,0
3.420000,0
3.430000,0
3.440000,0
3.450000,0
3.460000,0
3.470000,0
3.480000,0
3.490000,0
3.500000,0
3.510000,0
3.520000,0
3.530000,0
3.540000,0
3.550000,0
3.560000,0
3.570000,0
3.580000,0
3.590000,0
3.600000,0
3.610000,0
3.620000,0
3.630000,0
3.640000,0
3.650000,0
3.660000,0
3.670000,0
3.680000,0
